,date,hour,temperature,speed,direction
0,2022-11-21,22,13,25,0
1,2022-11-21,20,12,27,0
2,2022-11-21,18,13,25,0
3,2022-11-21,16,13,26,0
4,2022-11-21,14,14,25,0
5,2022-11-21,12,15,24,0
6,2022-11-21,10,16,28,0
7,2022-11-21,8,11,18,2
8,2022-11-21,6,11,15,2
9,2022-11-21,4,13,14,2
10,2022-11-21,2,13,11,2
11,2022-11-21,0,14,5,1
12,2022-11-20,22,14,6,0
13,2022-11-20,20,14,7,0
14,2022-11-20,18,14,13,0
15,2022-11-20,16,14,15,0
16,2022-11-20,14,15,19,0
17,2022-11-20,12,15,19,0
18,2022-11-20,10,15,19,0
19,2022-11-20,8,13,16,0
20,2022-11-20,6,12,7,1
21,2022-11-20,4,12,7,0
22,2022-11-20,2,12,5,0
23,2022-11-20,0,12,4,0
24,2022-11-19,22,10,2,2
25,2022-11-19,20,11,4,2
26,2022-11-19,18,11,8,1
27,2022-11-19,16,12,9,1
28,2022-11-19,14,12,9,1
29,2022-11-19,12,12,7,1
30,2022-11-19,10,10,5,2
31,2022-11-19,8,10,2,2
32,2022-11-19,6,11,9,1
33,2022-11-19,4,11,9,1
34,2022-11-19,2,11,7,1
35,2022-11-19,0,11,7,1
36,2022-11-18,22,11,6,1
37,2022-11-18,20,12,6,0
38,2022-11-18,18,12,9,0
39,2022-11-18,16,13,8,0
40,2022-11-18,14,14,10,0
41,2022-11-18,12,15,12,0
42,2022-11-18,10,14,12,0
43,2022-11-18,8,13,12,0
44,2022-11-18,6,14,14,0
45,2022-11-18,4,14,14,0
46,2022-11-18,2,14,15,0
47,2022-11-18,0,14,17,0
48,2022-11-17,22,14,20,0
49,2022-11-17,20,15,22,0
50,2022-11-17,18,15,24,0
51,2022-11-17,16,15,22,0
52,2022-11-17,14,16,19,0
53,2022-11-17,12,16,17,0
54,2022-11-17,10,16,17,0
55,2022-11-17,8,16,16,0
56,2022-11-17,6,16,17,0
57,2022-11-17,4,16,17,0
58,2022-11-17,2,16,20,0
59,2022-11-17,0,16,22,0
60,2022-11-16,22,17,24,0
61,2022-11-16,20,17,20,0
62,2022-11-16,18,18,22,1
63,2022-11-16,16,17,20,1
64,2022-11-16,14,17,16,1
65,2022-11-16,12,16,13,1
66,2022-11-16,10,16,18,0
